#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Balneola vulgaris	Bacteria	FCB group	Bacteroidota/Chlorobiota group	2.85775	-	-	-	1
Balneolaceae bacterium	Bacteria	FCB group	Bacteroidota/Chlorobiota group	5.33183	1	-	-	102
Balneolaceae bacterium ANBcel3	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.22108	-	-	-	1
Balneolaceae bacterium SMO_bin1	Bacteria	FCB group	Bacteroidota/Chlorobiota group	2.57875	-	-	-	1
Balneolaceae bacterium UBA1093	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.87547	-	-	-	1
Balneolaceae bacterium UBA1275	Bacteria	FCB group	Bacteroidota/Chlorobiota group	1.63903	-	-	-	1
Balneolaceae bacterium UBA1481	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.23417	-	-	-	1
Balneolaceae bacterium UBA1486	Bacteria	FCB group	Bacteroidota/Chlorobiota group	2.70328	-	-	-	1
Balneolaceae bacterium UBA1488	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.23663	-	-	-	1
Balneolaceae bacterium UBA1514	Bacteria	FCB group	Bacteroidota/Chlorobiota group	1.58237	-	-	-	1
Balneolaceae bacterium UBA1971	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.6874	-	-	-	1
Balneolaceae bacterium UBA2500	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24824	-	-	-	1
Balneolaceae bacterium UBA2665	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.25754	-	-	-	1
Balneolaceae bacterium UBA2670	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.25425	-	-	-	1
Balneolaceae bacterium UBA2676	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.25143	-	-	-	1
Balneolaceae bacterium UBA2695	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24252	-	-	-	1
Balneolaceae bacterium UBA2956	Bacteria	FCB group	Bacteroidota/Chlorobiota group	1.82331	-	-	-	1
Balneolaceae bacterium UBA2959	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.43545	-	-	-	1
Balneolaceae bacterium UBA3181	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.25212	-	-	-	1
Balneolaceae bacterium UBA3184	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24094	-	-	-	1
Balneolaceae bacterium UBA3186	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.23085	-	-	-	1
Balneolaceae bacterium UBA3193	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.25371	-	-	-	1
Balneolaceae bacterium UBA3202	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.23884	-	-	-	1
Balneolaceae bacterium UBA3590	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.23628	-	-	-	1
Balneolaceae bacterium UBA3597	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.26353	-	-	-	1
Balneolaceae bacterium UBA3598	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.92777	-	-	-	1
Balneolaceae bacterium UBA3974	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24832	-	-	-	1
Balneolaceae bacterium UBA3998	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.73167	-	-	-	1
Balneolaceae bacterium UBA4214	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.07493	-	-	-	1
Balneolaceae bacterium UBA4499	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24307	-	-	-	1
Balneolaceae bacterium UBA4511	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24643	-	-	-	1
Balneolaceae bacterium UBA4522	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24491	-	-	-	1
Balneolaceae bacterium UBA5060	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.23625	-	-	-	1
Balneolaceae bacterium UBA5064	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.8721	-	-	-	1
Balneolaceae bacterium UBA5080	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.24461	-	-	-	1
Balneolaceae bacterium UBA5089	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.85481	-	-	-	1
Balneolaceae bacterium UBA5090	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.94986	-	-	-	1
Balneolaceae bacterium UBA5097	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.87667	-	-	-	1
Balneolaceae bacterium UBA5104	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.87611	-	-	-	1
Balneolaceae bacterium UBA5722	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.27271	-	-	-	1
Balneolaceae bacterium UBA6773	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.87514	-	-	-	1
Balneolaceae bacterium UBA7797	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.88655	-	-	-	1
Balneolaceae bacterium UBA813	Bacteria	FCB group	Bacteroidota/Chlorobiota group	3.87117	-	-	-	1
